game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[2, 1, 0, 1, 0]",1212.0,[4 3 4 5 8],,773.0,False,False,False,False,False
0,1,2,1.0,"[1, 1, 0, 1, 0]",106.0,[4 3 4 5 8],106.0,799.0,False,True,False,False,True
0,2,1,0.9,[],,[4 3 4 5 8],,,,,,,
1,1,1,1.0,"[1, 1, 1, 0, 0]",680.0,[4 5 2 3 4],,427.0,False,False,False,False,False
1,1,2,1.0,"[1, 1, 0, 0, 1]",81.0,[4 5 2 3 4],81.0,570.0,False,True,False,False,True
1,2,1,0.9,"[1, 1, 0, 0, 0]",665.1,[4 5 2 3 4],665.1,384.3,False,False,True,False,True
1,2,2,0.9,"[1, 1, 0, 0, 2]",115.2,[4 5 2 3 4],115.2,513.0,False,True,False,False,False
1,3,1,0.81,[],,[4 5 2 3 4],,,,,,,
2,1,1,1.0,"[1, 4, 2, 0, 1]",815.0,[4 8 5 0 3],,869.0,False,True,False,False,False
2,1,2,1.0,"[0, 3, 1, 0, 1]",139.0,[4 8 5 0 3],139.0,269.0,False,True,False,False,True
2,2,1,0.9,[],,[4 8 5 0 3],,,,,,,
3,1,1,1.0,"[0, 3, 1, 1, 0]",617.0,[3 9 3 3 5],,897.0,False,True,False,False,False
3,1,2,1.0,"[0, 1, 0, 0, 0]",21.0,[3 9 3 3 5],21.0,149.0,False,True,False,False,True
3,2,1,0.9,[],,[3 9 3 3 5],,,,,,,
4,1,1,1.0,"[1, 1, 0, 0, 1]",702.0,[4 7 6 2 2],,563.0,False,False,False,False,False
4,1,2,1.0,"[1, 0, 0, 0, 1]",125.0,[4 7 6 2 2],125.0,760.0,False,True,False,False,True
4,2,1,0.9,"[1, 1, 0, 0, 0]",644.4,[4 7 6 2 2],644.4,506.7,False,False,True,False,True
4,2,2,0.9,"[1, 1, 0, 0, 0]",39.6,[4 7 6 2 2],39.6,684.0,False,True,False,False,False
4,3,1,0.81,[],,[4 7 6 2 2],,,,,,,
5,1,1,1.0,"[1, 1, 1, 1, 3]",693.0,[3 4 4 4 7],,143.0,False,False,False,False,False
5,1,2,1.0,"[1, 0, 1, 1, 1]",272.0,[3 4 4 4 7],272.0,279.0,False,True,False,False,True
5,2,1,0.9,"[1, 1, 1, 2, 2]",613.8000000000001,[3 4 4 4 7],613.8000000000001,128.70000000000002,False,False,True,False,True
5,2,2,0.9,"[0, 0, 1, 2, 2]",313.2,[3 4 4 4 7],313.2,251.1,False,False,True,False,True
5,3,1,0.81,[],,[3 4 4 4 7],,,,,,,
6,1,1,1.0,"[0, 0, 2, 3, 1]",735.0,[1 3 5 5 3],,673.0,False,False,False,False,False
7,1,1,1.0,"[1, 3, 0, 1, 5]",618.0,[ 3  7  4  3 11],,249.0,False,False,False,False,False
7,1,2,1.0,"[1, 2, 0, 1, 4]",239.0,[ 3  7  4  3 11],239.0,391.0,False,True,False,False,True
7,2,1,0.9,"[1, 2, 0, 1, 3]",594.9,[ 3  7  4  3 11],594.9,224.1,False,False,True,False,True
7,2,2,0.9,"[1, 1, 0, 1, 3]",174.6,[ 3  7  4  3 11],174.6,351.90000000000003,False,True,False,False,True
7,3,1,0.81,[],,[ 3  7  4  3 11],,,,,,,
8,1,1,1.0,"[1, 2, 0, 1, 1]",1110.0,[5 4 2 5 4],,464.0,False,False,False,False,False
9,1,1,1.0,"[0, 0, 1, 0, 0]",513.0,[4 4 3 2 3],,832.0,False,True,False,False,False
9,1,2,1.0,"[1, 1, 1, 0, 1]",164.0,[4 4 3 2 3],164.0,136.0,False,False,True,False,False
9,2,1,0.9,[],,[4 4 3 2 3],,,,,,,
10,1,1,1.0,[],,[1 5 2 8 5],,,,,,,
11,1,1,1.0,"[0, 5, 0, 1, 0]",990.0,[ 4  5  3 10  0],,392.0,False,False,False,False,False
11,1,2,1.0,"[2, 5, 2, 0, 0]",553.0,[ 4  5  3 10  0],553.0,741.0,False,True,False,False,False
11,2,1,0.9,"[2, 5, 1, 0, 0]",729.0,[ 4  5  3 10  0],729.0,352.8,False,False,True,False,True
12,1,1,1.0,"[0, 1, 1, 2, 1]",700.0,[2 3 3 4 3],,436.0,False,False,False,False,False
12,1,2,1.0,"[0, 0, 0, 2, 0]",182.0,[2 3 3 4 3],182.0,688.0,False,True,False,False,True
12,2,1,0.9,"[0, 1, 1, 1, 0]",784.8000000000001,[2 3 3 4 3],784.8000000000001,392.40000000000003,False,False,True,False,True
12,2,2,0.9,"[0, 0, 0, 1, 0]",81.9,[2 3 3 4 3],81.9,619.2,False,True,False,False,True
12,3,1,0.81,[],,[2 3 3 4 3],,,,,,,
13,1,1,1.0,"[3, 0, 0, 0, 0]",786.0,[6 5 3 4 3],,928.0,False,True,False,False,False
13,1,2,1.0,"[2, 1, 1, 1, 0]",178.0,[6 5 3 4 3],178.0,15.0,False,False,True,False,False
13,2,1,0.9,[],,[6 5 3 4 3],,,,,,,
14,1,1,1.0,"[0, 0, 0, 0, 0]",769.0,[4 1 6 3 2],,740.0,False,False,False,True,False
14,1,2,1.0,"[0, 0, 3, 0, 0]",9.0,[4 1 6 3 2],9.0,484.0,False,True,False,False,False
14,2,1,0.9,[],,[4 1 6 3 2],,,,,,,
15,1,1,1.0,"[1, 1, 1, 1, 0]",1106.0,[2 2 6 3 6],,575.0,False,False,False,False,False
15,1,2,1.0,"[0, 0, 1, 0, 0]",4.0,[2 2 6 3 6],4.0,340.0,False,True,False,False,True
15,2,1,0.9,[],,[2 2 6 3 6],,,,,,,
16,1,1,1.0,"[2, 0, 1, 3, 0]",741.0,[5 2 4 6 1],,659.0,False,False,False,False,False
16,1,2,1.0,"[1, 0, 1, 4, 0]",154.0,[5 2 4 6 1],154.0,606.0,False,True,False,False,False
16,2,1,0.9,[],,[5 2 4 6 1],,,,,,,
17,1,1,1.0,"[0, 2, 5, 1, 4]",318.0,[2 4 5 1 4],,784.0,False,True,False,False,False
18,1,1,1.0,"[2, 1, 1, 1, 1]",723.0,[5 3 4 3 3],,70.0,False,False,False,False,False
18,1,2,1.0,"[1, 1, 1, 1, 1]",302.0,[5 3 4 3 3],302.0,739.0,False,True,False,False,True
18,2,1,0.9,"[2, 0, 0, 2, 2]",739.8000000000001,[5 3 4 3 3],739.8000000000001,63.0,False,False,True,False,True
18,2,2,0.9,"[2, 0, 0, 1, 1]",235.8,[5 3 4 3 3],235.8,665.1,False,True,False,False,True
18,3,1,0.81,"[2, 0, 0, 0, 0]",787.32,[5 3 4 3 3],787.32,56.7,False,False,True,False,True
19,1,1,1.0,"[1, 1, 1, 1, 2]",564.0,[4 3 4 2 6],,667.0,False,True,False,False,False
20,1,1,1.0,"[0, 2, 4, 2, 7]",1041.0,[ 3  4 10  5  8],,51.0,False,False,False,False,False
20,1,2,1.0,"[0, 1, 3, 2, 5]",335.0,[ 3  4 10  5  8],335.0,765.0,False,True,False,False,True
20,2,1,0.9,"[0, 2, 3, 2, 6]",1010.7,[ 3  4 10  5  8],1010.7,45.9,False,False,True,False,True
21,1,1,1.0,"[1, 3, 0, 0, 0]",880.0,[4 7 3 3 1],,131.0,False,False,False,False,False
21,1,2,1.0,"[2, 2, 0, 0, 0]",124.0,[4 7 3 3 1],124.0,561.0,False,True,False,False,False
21,2,1,0.9,"[2, 1, 0, 0, 0]",908.1,[4 7 3 3 1],908.1,117.9,False,False,True,False,True
21,2,2,0.9,"[2, 2, 0, 0, 0]",111.60000000000001,[4 7 3 3 1],111.60000000000001,504.90000000000003,False,True,False,False,False
21,3,1,0.81,"[2, 2, 0, 0, 0]",738.72,[4 7 3 3 1],738.72,106.11000000000001,False,False,False,False,True
22,1,1,1.0,"[0, 1, 2, 2, 2]",664.0,[5 4 5 4 4],,804.0,False,True,False,False,False
22,1,2,1.0,"[0, 1, 1, 2, 2]",361.0,[5 4 5 4 4],361.0,337.0,False,False,True,False,True
22,2,1,0.9,[],,[5 4 5 4 4],,,,,,,
23,1,1,1.0,"[0, 0, 0, 1, 0]",588.0,[6 2 1 3 1],,441.0,False,False,False,False,False
