game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[1, 1, 0, 2, 1]",607.0,[5 2 4 3 3],,715.0,False,True,False,False,False
0,1,2,1.0,"[2, 0, 2, 2, 1]",290.0,[5 2 4 3 3],290.0,339.0,False,True,False,False,False
0,2,1,0.9,"[1, 1, 1, 2, 1]",477.90000000000003,[5 2 4 3 3],477.90000000000003,643.5,False,True,False,False,False
0,2,2,0.9,"[2, 0, 1, 2, 1]",221.4,[5 2 4 3 3],221.4,305.1,False,True,False,False,True
0,3,1,0.81,"[2, 1, 1, 2, 1]",397.71000000000004,[5 2 4 3 3],397.71000000000004,579.1500000000001,False,True,False,False,True
0,3,2,0.81,"[2, 1, 1, 2, 1]",260.01,[5 2 4 3 3],260.01,274.59000000000003,True,True,False,False,False
1,1,1,1.0,"[0, 4, 7, 6, 2]",378.0,[1 7 7 6 5],,127.0,False,False,False,False,False
1,1,2,1.0,"[1, 2, 4, 3, 3]",872.0,[1 7 7 6 5],872.0,375.0,False,False,True,False,True
1,2,1,0.9,"[1, 3, 7, 6, 2]",308.7,[1 7 7 6 5],308.7,114.3,False,False,True,False,True
1,2,2,0.9,"[1, 2, 4, 3, 2]",737.1,[1 7 7 6 5],737.1,337.5,False,False,True,False,True
1,3,1,0.81,"[1, 2, 4, 3, 2]",383.13000000000005,[1 7 7 6 5],383.13000000000005,102.87,False,False,False,False,True
2,1,1,1.0,"[2, 0, 1, 4, 3]",552.0,[4 3 3 7 4],,295.0,False,False,False,False,False
2,1,2,1.0,"[1, 1, 2, 3, 1]",577.0,[4 3 3 7 4],577.0,46.0,False,False,True,False,True
2,2,1,0.9,"[2, 0, 1, 3, 3]",549.0,[4 3 3 7 4],549.0,265.5,False,False,True,False,False
2,2,2,0.9,"[1, 1, 2, 3, 1]",519.3000000000001,[4 3 3 7 4],519.3000000000001,41.4,False,False,True,False,True
2,3,1,0.81,"[1, 1, 2, 3, 1]",420.39000000000004,[4 3 3 7 4],420.39000000000004,238.95000000000002,False,False,False,False,True
3,1,1,1.0,"[1, 3, 2, 1, 0]",1509.0,[5 4 3 8 4],,398.0,False,False,False,False,False
3,1,2,1.0,"[4, 1, 3, 2, 3]",260.0,[5 4 3 8 4],260.0,930.0,False,True,False,False,False
3,2,1,0.9,"[1, 4, 2, 1, 0]",1344.6000000000001,[5 4 3 8 4],1344.6000000000001,358.2,False,False,True,False,False
3,2,2,0.9,"[4, 1, 3, 2, 3]",234.0,[5 4 3 8 4],234.0,837.0,False,True,False,False,False
3,3,1,0.81,[],,[5 4 3 8 4],,,,,,,
4,1,1,1.0,"[1, 4, 0, 0, 0]",1268.0,[7 5 4 6 0],,93.0,False,False,False,False,False
4,1,2,1.0,"[7, 1, 0, 0, 0]",176.0,[7 5 4 6 0],176.0,32.0,False,False,True,False,True
4,2,1,0.9,"[3, 2, 0, 1, 0]",1002.6,[7 5 4 6 0],1002.6,83.7,False,False,True,False,True
4,2,2,0.9,"[7, 1, 0, 0, 0]",158.4,[7 5 4 6 0],158.4,28.8,False,False,True,False,True
4,3,1,0.81,"[4, 2, 0, 0, 0]",933.1200000000001,[7 5 4 6 0],933.1200000000001,75.33,False,False,True,False,False
5,1,1,1.0,"[1, 4, 1, 0, 0]",749.0,[4 6 2 2 2],,277.0,False,False,False,False,False
5,1,2,1.0,"[1, 5, 0, 0, 0]",224.0,[4 6 2 2 2],224.0,218.0,False,False,True,False,True
5,2,1,0.9,"[1, 4, 1, 0, 0]",674.1,[4 6 2 2 2],674.1,249.3,False,False,True,False,True
5,2,2,0.9,"[2, 5, 0, 0, 0]",259.2,[4 6 2 2 2],259.2,196.20000000000002,False,False,True,False,False
5,3,1,0.81,"[1, 4, 1, 0, 0]",606.69,[4 6 2 2 2],606.69,224.37,False,False,True,False,True
5,3,2,0.81,"[1, 4, 1, 0, 0]",221.94000000000003,[4 6 2 2 2],221.94000000000003,176.58,False,False,False,False,False
6,1,1,1.0,"[0, 0, 2, 2, 2]",618.0,[2 2 4 2 5],,587.0,False,False,False,False,False
6,1,2,1.0,"[1, 1, 2, 1, 2]",483.0,[2 2 4 2 5],483.0,201.0,False,False,True,False,False
6,2,1,0.9,"[1, 0, 2, 2, 1]",607.5,[2 2 4 2 5],607.5,528.3000000000001,False,False,True,False,False
6,2,2,0.9,"[1, 1, 2, 1, 2]",434.7,[2 2 4 2 5],434.7,180.9,False,False,True,False,False
6,3,1,0.81,"[1, 1, 2, 1, 2]",419.58000000000004,[2 2 4 2 5],419.58000000000004,475.47,True,True,False,False,True
7,1,1,1.0,"[0, 4, 2, 2, 4]",320.0,[5 4 2 2 4],,401.0,False,True,False,False,False
7,1,2,1.0,"[5, 0, 0, 0, 2]",91.0,[5 4 2 2 4],91.0,339.0,False,True,False,False,True
7,2,1,0.9,"[1, 4, 2, 2, 4]",230.4,[5 4 2 2 4],230.4,360.90000000000003,False,True,False,False,False
7,2,2,0.9,"[5, 0, 0, 0, 2]",81.9,[5 4 2 2 4],81.9,305.1,False,True,False,False,True
7,3,1,0.81,"[5, 0, 0, 0, 2]",174.96,[5 4 2 2 4],174.96,324.81,True,True,False,False,True
8,1,1,1.0,"[4, 3, 5, 1, 1]",687.0,[4 3 5 6 4],,964.0,False,True,False,False,False
8,1,2,1.0,"[4, 3, 0, 0, 0]",401.0,[4 3 5 6 4],401.0,942.0,False,True,False,False,True
8,2,1,0.9,"[4, 3, 5, 0, 1]",707.4,[4 3 5 6 4],707.4,867.6,False,True,False,False,True
8,2,2,0.9,"[4, 3, 5, 0, 0]",585.9,[4 3 5 6 4],585.9,847.8000000000001,False,True,False,False,True
8,3,1,0.81,"[4, 3, 5, 0, 0]",688.5,[4 3 5 6 4],688.5,780.84,True,True,False,False,True
9,1,1,1.0,"[1, 3, 1, 1, 1]",1220.0,[4 4 4 5 6],,257.0,False,False,False,False,False
9,1,2,1.0,"[4, 1, 2, 3, 2]",522.0,[4 4 4 5 6],522.0,452.0,False,False,True,False,False
9,2,1,0.9,"[2, 3, 1, 1, 2]",957.6,[4 4 4 5 6],957.6,231.3,False,False,True,False,False
9,2,2,0.9,"[3, 1, 2, 2, 2]",413.1,[4 4 4 5 6],413.1,406.8,False,False,True,False,False
9,3,1,0.81,"[3, 1, 2, 2, 2]",716.0400000000001,[4 4 4 5 6],716.0400000000001,208.17000000000002,False,False,False,False,True
10,1,1,1.0,"[6, 0, 0, 1, 0]",560.0,[6 2 2 1 4],,242.0,False,False,False,False,False
10,1,2,1.0,"[6, 0, 1, 1, 0]",168.0,[6 2 2 1 4],168.0,178.0,False,True,False,False,False
10,2,1,0.9,"[6, 0, 0, 1, 0]",504.0,[6 2 2 1 4],504.0,217.8,False,False,True,False,True
10,2,2,0.9,"[6, 0, 2, 0, 0]",138.6,[6 2 2 1 4],138.6,160.20000000000002,False,True,False,False,True
10,3,1,0.81,[],,[6 2 2 1 4],,,,,,,
11,1,1,1.0,"[0, 2, 1, 1, 1]",1403.0,[2 7 5 6 6],,315.0,False,False,False,False,False
11,1,2,1.0,"[2, 6, 4, 5, 1]",585.0,[2 7 5 6 6],585.0,642.0,False,True,False,False,False
11,2,1,0.9,"[1, 3, 2, 2, 2]",982.8000000000001,[2 7 5 6 6],982.8000000000001,283.5,False,False,True,False,False
11,2,2,0.9,"[0, 6, 3, 4, 1]",312.3,[2 7 5 6 6],312.3,577.8000000000001,False,True,False,False,True
11,3,1,0.81,"[0, 6, 3, 4, 1]",648.8100000000001,[2 7 5 6 6],648.8100000000001,255.15,False,False,False,False,True
12,1,1,1.0,"[0, 0, 5, 0, 0]",895.0,[ 3  0 11  1  5],,398.0,False,False,False,False,False
12,1,2,1.0,"[3, 0, 1, 0, 5]",196.0,[ 3  0 11  1  5],196.0,935.0,False,True,False,False,True
12,2,1,0.9,"[2, 0, 4, 0, 1]",757.8000000000001,[ 3  0 11  1  5],757.8000000000001,358.2,False,False,True,False,False
12,2,2,0.9,"[2, 0, 2, 0, 3]",200.70000000000002,[ 3  0 11  1  5],200.70000000000002,841.5,False,True,False,False,True
12,3,1,0.81,"[1, 0, 4, 0, 1]",692.5500000000001,[ 3  0 11  1  5],692.5500000000001,322.38,False,False,True,False,True
13,1,1,1.0,"[4, 0, 5, 0, 2]",413.0,[6 1 5 5 2],,776.0,False,True,False,False,False
13,1,2,1.0,"[6, 0, 2, 0, 1]",302.0,[6 1 5 5 2],302.0,522.0,False,True,False,False,True
13,2,1,0.9,"[4, 0, 5, 0, 2]",371.7,[6 1 5 5 2],371.7,698.4,False,True,False,False,True
13,2,2,0.9,"[5, 0, 3, 0, 1]",319.5,[6 1 5 5 2],319.5,469.8,False,True,False,False,True
13,3,1,0.81,"[5, 0, 3, 0, 1]",338.58000000000004,[6 1 5 5 2],338.58000000000004,628.5600000000001,True,True,False,False,True
14,1,1,1.0,"[0, 0, 0, 0, 3]",996.0,[5 7 1 4 3],,837.0,False,False,False,False,False
14,1,2,1.0,"[2, 0, 0, 1, 3]",214.0,[5 7 1 4 3],214.0,857.0,False,True,False,False,False
14,2,1,0.9,"[0, 2, 0, 0, 3]",743.4,[5 7 1 4 3],743.4,753.3000000000001,False,True,False,False,True
14,2,2,0.9,"[2, 0, 0, 1, 3]",192.6,[5 7 1 4 3],192.6,771.3000000000001,False,True,False,False,True
14,3,1,0.81,[],,[5 7 1 4 3],,,,,,,
15,1,1,1.0,"[1, 2, 2, 4, 3]",948.0,[10  3  3  5  4],,517.0,False,False,False,False,False
15,1,2,1.0,"[8, 0, 3, 0, 4]",461.0,[10  3  3  5  4],461.0,687.0,False,True,False,False,True
15,2,1,0.9,"[2, 2, 2, 4, 3]",765.9,[10  3  3  5  4],765.9,465.3,False,False,True,False,False
15,2,2,0.9,"[8, 0, 3, 0, 4]",414.90000000000003,[10  3  3  5  4],414.90000000000003,618.3000000000001,False,True,False,False,True
15,3,1,0.81,"[8, 0, 3, 0, 4]",312.66,[10  3  3  5  4],312.66,418.77000000000004,True,True,False,False,True
16,1,1,1.0,"[0, 0, 3, 2, 6]",661.0,[2 2 6 5 7],,1.0,False,False,False,False,False
16,1,2,1.0,"[1, 1, 4, 3, 4]",534.0,[2 2 6 5 7],534.0,976.0,False,True,False,False,False
16,2,1,0.9,"[1, 0, 3, 1, 6]",658.8000000000001,[2 2 6 5 7],658.8000000000001,0.9,False,False,True,False,False
16,2,2,0.9,"[1, 1, 4, 3, 4]",480.6,[2 2 6 5 7],480.6,878.4,False,True,False,False,False
16,3,1,0.81,"[1, 1, 4, 3, 4]",386.37,[2 2 6 5 7],386.37,0.81,False,False,False,False,True
17,1,1,1.0,"[0, 2, 0, 5, 4]",648.0,[1 4 3 6 7],,642.0,False,False,False,False,False
17,1,2,1.0,"[1, 1, 1, 2, 5]",433.0,[1 4 3 6 7],433.0,780.0,False,True,False,False,True
