game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[1, 1, 2, 1, 1]",853.0,[1 7 2 6 3],,232.0,False,False,False,False,False
0,1,2,1.0,"[1, 3, 1, 5, 3]",377.0,[1 7 2 6 3],377.0,549.0,False,True,False,False,False
0,2,1,0.9,"[1, 2, 1, 2, 1]",662.4,[1 7 2 6 3],662.4,208.8,False,False,True,False,False
0,2,2,0.9,"[1, 3, 1, 5, 3]",339.3,[1 7 2 6 3],339.3,494.1,False,True,False,False,False
0,3,1,0.81,[],,[1 7 2 6 3],,,,,,,
1,1,1,1.0,"[0, 6, 2, 0, 3]",512.0,[3 6 6 2 3],,144.0,False,False,False,False,False
1,1,2,1.0,"[3, 0, 4, 0, 2]",473.0,[3 6 6 2 3],473.0,664.0,False,True,False,False,True
1,2,1,0.9,"[0, 6, 2, 0, 3]",460.8,[3 6 6 2 3],460.8,129.6,False,False,True,False,False
1,2,2,0.9,"[3, 0, 4, 0, 2]",425.7,[3 6 6 2 3],425.7,597.6,False,True,False,False,True
1,3,1,0.81,[],,[3 6 6 2 3],,,,,,,
2,1,1,1.0,"[1, 1, 1, 0, 1]",1397.0,[6 3 4 2 7],,755.0,False,False,False,False,False
2,1,2,1.0,"[2, 1, 3, 0, 3]",477.0,[6 3 4 2 7],477.0,250.0,False,False,True,False,False
2,2,1,0.9,"[1, 1, 1, 1, 2]",1111.5,[6 3 4 2 7],1111.5,679.5,False,False,True,False,False
2,2,2,0.9,"[2, 1, 3, 0, 3]",429.3,[6 3 4 2 7],429.3,225.0,False,False,True,False,False
2,3,1,0.81,[],,[6 3 4 2 7],,,,,,,
3,1,1,1.0,"[2, 1, 4, 1, 1]",699.0,[5 3 5 4 3],,62.0,False,False,False,False,False
3,1,2,1.0,"[3, 2, 1, 2, 2]",312.0,[5 3 5 4 3],312.0,401.0,False,True,False,False,True
3,2,1,0.9,"[2, 1, 4, 1, 1]",629.1,[5 3 5 4 3],629.1,55.800000000000004,False,False,True,False,False
3,2,2,0.9,"[2, 2, 1, 2, 2]",241.20000000000002,[5 3 5 4 3],241.20000000000002,360.90000000000003,False,True,False,False,True
3,3,1,0.81,"[2, 1, 4, 1, 1]",566.19,[5 3 5 4 3],566.19,50.220000000000006,False,False,True,False,False
3,3,2,0.81,"[2, 1, 4, 1, 1]",376.65000000000003,[5 3 5 4 3],376.65000000000003,324.81,False,False,False,False,False
4,1,1,1.0,"[6, 1, 3, 3, 1]",632.0,[6 4 3 5 4],,229.0,False,False,False,False,False
4,1,2,1.0,"[6, 4, 0, 0, 0]",298.0,[6 4 3 5 4],298.0,910.0,False,True,False,False,True
4,2,1,0.9,"[6, 1, 3, 2, 1]",604.8000000000001,[6 4 3 5 4],604.8000000000001,206.1,False,False,True,False,False
4,2,2,0.9,"[6, 4, 0, 0, 0]",268.2,[6 4 3 5 4],268.2,819.0,False,True,False,False,True
4,3,1,0.81,[],,[6 4 3 5 4],,,,,,,
5,1,1,1.0,"[0, 1, 2, 2, 0]",656.0,[0 5 4 2 4],,208.0,False,False,False,False,False
5,1,2,1.0,"[0, 1, 1, 0, 2]",256.0,[0 5 4 2 4],256.0,969.0,False,True,False,False,True
5,2,1,0.9,"[0, 2, 2, 1, 1]",486.0,[0 5 4 2 4],486.0,187.20000000000002,False,False,True,False,True
5,2,2,0.9,"[0, 1, 1, 0, 2]",230.4,[0 5 4 2 4],230.4,872.1,False,True,False,False,True
5,3,1,0.81,"[0, 1, 2, 1, 1]",484.38000000000005,[0 5 4 2 4],484.38000000000005,168.48000000000002,False,False,True,False,True
6,1,1,1.0,"[0, 2, 0, 0, 0]",1291.0,[4 2 4 7 4],,834.0,False,False,False,False,False
6,1,2,1.0,"[2, 0, 2, 4, 4]",360.0,[4 2 4 7 4],360.0,620.0,False,True,False,False,False
6,2,1,0.9,"[4, 2, 0, 0, 0]",1057.5,[4 2 4 7 4],1057.5,750.6,False,False,True,False,False
6,2,2,0.9,"[2, 2, 0, 3, 4]",294.3,[4 2 4 7 4],294.3,558.0,False,True,False,False,False
6,3,1,0.81,[],,[4 2 4 7 4],,,,,,,
7,1,1,1.0,"[0, 0, 0, 5, 2]",594.0,[3 3 2 5 2],,477.0,False,False,False,False,False
7,1,2,1.0,"[3, 0, 1, 0, 0]",64.0,[3 3 2 5 2],64.0,40.0,False,False,True,False,True
7,2,1,0.9,"[0, 0, 0, 4, 2]",570.6,[3 3 2 5 2],570.6,429.3,False,False,True,False,False
7,2,2,0.9,"[3, 0, 1, 0, 0]",57.6,[3 3 2 5 2],57.6,36.0,False,False,True,False,True
7,3,1,0.81,"[3, 0, 1, 0, 0]",405.0,[3 3 2 5 2],405.0,386.37,False,False,False,False,True
