game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[2, 4, 1, 0, 2]",630.0,[3 7 5 1 3],,761.0,False,True,False,False,False
0,1,2,1.0,"[1, 3, 2, 0, 1]",385.0,[3 7 5 1 3],385.0,225.0,False,False,True,False,True
0,2,1,0.9,"[1, 2, 1, 0, 1]",749.7,[3 7 5 1 3],749.7,684.9,False,False,True,False,False
0,2,2,0.9,"[1, 3, 2, 0, 1]",346.5,[3 7 5 1 3],346.5,202.5,False,False,True,False,False
0,3,1,0.81,[],,[3 7 5 1 3],,,,,,,
1,1,1,1.0,"[2, 2, 0, 0, 1]",1038.0,[8 3 2 1 4],,496.0,False,False,False,False,False
1,1,2,1.0,"[6, 1, 0, 0, 2]",189.0,[8 3 2 1 4],189.0,647.0,False,True,False,False,False
1,2,1,0.9,"[5, 1, 0, 0, 2]",677.7,[8 3 2 1 4],677.7,446.40000000000003,False,False,True,False,False
2,1,1,1.0,"[1, 4, 3, 1, 2]",282.0,[3 6 4 2 6],,127.0,False,False,False,False,False
2,1,2,1.0,"[1, 1, 2, 1, 2]",225.0,[3 6 4 2 6],225.0,768.0,False,True,False,False,True
2,2,1,0.9,"[1, 2, 2, 1, 2]",288.90000000000003,[3 6 4 2 6],288.90000000000003,114.3,False,False,True,False,True
3,1,1,1.0,"[2, 1, 4, 0, 3]",876.0,[6 5 6 2 5],,469.0,False,False,False,False,False
3,1,2,1.0,"[1, 2, 3, 0, 3]",519.0,[6 5 6 2 5],519.0,1.0,False,False,True,False,True
3,2,1,0.9,"[1, 1, 3, 0, 2]",900.0,[6 5 6 2 5],900.0,422.1,False,False,True,False,False
3,2,2,0.9,"[1, 1, 2, 0, 2]",322.2,[6 5 6 2 5],322.2,0.9,False,False,True,False,True
3,3,1,0.81,"[1, 1, 2, 0, 2]",827.82,[6 5 6 2 5],827.82,379.89000000000004,False,False,False,False,True
4,1,1,1.0,"[5, 0, 1, 1, 5]",442.0,[5 2 2 4 5],,240.0,False,False,False,False,False
4,1,2,1.0,"[4, 0, 0, 2, 4]",202.0,[5 2 2 4 5],202.0,354.0,False,True,False,False,True
4,2,1,0.9,"[4, 0, 1, 1, 4]",430.2,[5 2 2 4 5],430.2,216.0,False,False,True,False,True
4,2,2,0.9,"[4, 0, 1, 1, 4]",218.70000000000002,[5 2 2 4 5],218.70000000000002,318.6,True,True,False,False,False
5,1,1,1.0,"[1, 1, 5, 1, 2]",555.0,[1 5 6 4 3],,418.0,False,False,False,False,False
5,1,2,1.0,"[0, 2, 1, 2, 1]",262.0,[1 5 6 4 3],262.0,922.0,False,True,False,False,True
5,2,1,0.9,"[0, 2, 1, 2, 1]",398.7,[1 5 6 4 3],398.7,376.2,False,False,False,False,True
6,1,1,1.0,"[3, 0, 2, 1, 5]",801.0,[7 1 8 3 7],,831.0,False,True,False,False,False
6,1,2,1.0,"[2, 0, 2, 1, 5]",711.0,[7 1 8 3 7],711.0,929.0,False,True,False,False,True
6,2,1,0.9,[],,[7 1 8 3 7],,,,,,,
7,1,1,1.0,"[1, 3, 5, 2, 0]",488.0,[4 5 8 3 1],,754.0,False,True,False,False,False
7,1,2,1.0,"[2, 2, 3, 2, 0]",396.0,[4 5 8 3 1],396.0,518.0,False,True,False,False,True
7,2,1,0.9,"[2, 2, 4, 1, 0]",454.5,[4 5 8 3 1],454.5,678.6,False,True,False,False,True
7,2,2,0.9,"[1, 2, 3, 1, 0]",302.40000000000003,[4 5 8 3 1],302.40000000000003,466.2,False,True,False,False,True
7,3,1,0.81,[],,[4 5 8 3 1],,,,,,,
8,1,1,1.0,"[1, 1, 1, 1, 2]",650.0,[3 2 2 4 3],,532.0,False,False,False,False,False
8,1,2,1.0,"[2, 0, 0, 1, 2]",114.0,[3 2 2 4 3],114.0,704.0,False,True,False,False,True
8,2,1,0.9,"[1, 1, 0, 1, 2]",650.7,[3 2 2 4 3],650.7,478.8,False,False,True,False,True
9,1,1,1.0,"[2, 2, 1, 3, 1]",1278.0,[6 6 3 5 4],,689.0,False,False,False,False,False
9,1,2,1.0,"[2, 2, 2, 1, 2]",480.0,[6 6 3 5 4],480.0,824.0,False,True,False,False,True
9,2,1,0.9,"[2, 2, 1, 3, 1]",1150.2,[6 6 3 5 4],1150.2,620.1,False,False,True,False,False
10,1,1,1.0,"[2, 5, 1, 2, 1]",1142.0,[3 7 5 7 5],,640.0,False,False,False,False,False
10,1,2,1.0,"[2, 2, 1, 2, 3]",406.0,[3 7 5 7 5],406.0,903.0,False,True,False,False,True
10,2,1,0.9,"[2, 3, 1, 2, 2]",991.8000000000001,[3 7 5 7 5],991.8000000000001,576.0,False,False,True,False,True
11,1,1,1.0,"[3, 4, 2, 5, 1]",718.0,[3 8 6 6 3],,509.0,False,False,False,False,False
11,1,2,1.0,"[1, 6, 4, 2, 2]",351.0,[3 8 6 6 3],351.0,912.0,False,True,False,False,True
11,2,1,0.9,"[2, 3, 2, 3, 1]",770.4,[3 8 6 6 3],770.4,458.1,False,False,True,False,False
12,1,1,1.0,"[1, 5, 4, 1, 1]",834.0,[3 7 5 4 5],,714.0,False,False,False,False,False
12,1,2,1.0,"[1, 4, 3, 1, 1]",741.0,[3 7 5 4 5],741.0,969.0,False,True,False,False,True
12,2,1,0.9,"[1, 4, 3, 1, 1]",816.3000000000001,[3 7 5 4 5],816.3000000000001,642.6,False,False,True,False,True
12,2,2,0.9,"[1, 4, 3, 1, 1]",666.9,[3 7 5 4 5],666.9,872.1,True,True,False,False,False
13,1,1,1.0,"[3, 2, 1, 2, 1]",634.0,[8 4 4 4 2],,682.0,False,True,False,False,False
13,1,2,1.0,"[5, 2, 3, 1, 0]",526.0,[8 4 4 4 2],526.0,563.0,False,True,False,False,False
13,2,1,0.9,[],,[8 4 4 4 2],,,,,,,
14,1,1,1.0,"[0, 4, 0, 4, 4]",670.0,[0 5 5 5 7],,881.0,False,True,False,False,False
14,1,2,1.0,"[0, 1, 2, 4, 3]",404.0,[0 5 5 5 7],404.0,670.0,False,True,False,False,True
14,2,1,0.9,"[0, 3, 1, 4, 2]",638.1,[0 5 5 5 7],638.1,792.9,False,True,False,False,False
15,1,1,1.0,"[6, 1, 0, 3, 2]",473.0,[7 4 2 4 3],,907.0,False,True,False,False,False
