game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[0, 0, 3, 0, 0]",915.0,[5 1 3 4 4],,696.0,False,False,False,False,False
0,1,2,1.0,"[5, 0, 0, 2, 0]",245.0,[5 1 3 4 4],245.0,212.0,False,False,False,False,True
0,2,1,0.9,"[0, 0, 2, 0, 0]",837.0,[5 1 3 4 4],837.0,626.4,False,False,False,False,False
0,2,2,0.9,"[5, 0, 1, 1, 4]",321.3,[5 1 3 4 4],321.3,190.8,False,False,False,False,False
0,3,1,0.81,[],,[5 1 3 4 4],,,,,,,
1,1,1,1.0,"[0, 0, 1, 0, 2]",149.0,[3 0 2 1 4],,99.0,False,False,False,False,False
1,1,2,1.0,"[2, 0, 1, 0, 3]",309.0,[3 0 2 1 4],309.0,531.0,False,True,False,False,False
1,2,1,0.9,"[1, 0, 1, 0, 3]",117.0,[3 0 2 1 4],117.0,89.10000000000001,False,False,False,False,False
1,2,2,0.9,"[1, 0, 1, 0, 3]",199.8,[3 0 2 1 4],199.8,477.90000000000003,True,True,False,False,False
2,1,1,1.0,"[0, 0, 2, 1, 0]",829.0,[2 4 5 2 1],,162.0,False,False,False,False,False
2,1,2,1.0,"[0, 2, 1, 0, 0]",142.0,[2 4 5 2 1],142.0,639.0,False,True,False,False,False
2,2,1,0.9,"[0, 0, 2, 1, 0]",746.1,[2 4 5 2 1],746.1,145.8,False,False,False,False,True
3,1,1,1.0,"[0, 1, 3, 2, 1]",938.0,[7 2 7 6 3],,600.0,False,False,False,False,False
3,1,2,1.0,"[0, 0, 2, 2, 1]",236.0,[7 2 7 6 3],236.0,26.0,False,False,False,False,True
3,2,1,0.9,[],,[7 2 7 6 3],,,,,,,
4,1,1,1.0,"[0, 1, 2, 0, 0]",1276.0,[3 6 6 4 6],,494.0,False,False,False,False,False
4,1,2,1.0,"[0, 0, 0, 0, 3]",27.0,[3 6 6 4 6],27.0,299.0,False,True,False,False,True
4,2,1,0.9,"[3, 6, 6, 4, 1]",441.0,[3 6 6 4 6],441.0,444.6,False,True,False,False,True
4,2,2,0.9,"[3, 6, 6, 4, 1]",1404.0,[3 6 6 4 6],1404.0,269.1,False,False,False,False,False
5,1,1,1.0,"[1, 1, 0, 2, 2]",898.0,[5 1 2 6 6],,359.0,False,False,False,False,False
6,1,1,1.0,"[2, 1, 0, 2, 1]",406.0,[4 3 2 4 3],,860.0,False,True,False,False,False
6,1,2,1.0,"[1, 0, 0, 1, 1]",149.0,[4 3 2 4 3],149.0,695.0,False,True,False,False,True
6,2,1,0.9,[],,[4 3 2 4 3],,,,,,,
7,1,1,1.0,"[0, 2, 1, 3, 3]",706.0,[2 4 3 7 6],,40.0,False,False,False,False,False
7,1,2,1.0,"[0, 0, 0, 2, 2]",264.0,[2 4 3 7 6],264.0,541.0,False,True,False,False,True
7,2,1,0.9,"[0, 1, 1, 2, 3]",714.6,[2 4 3 7 6],714.6,36.0,False,False,False,False,True
7,2,2,0.9,"[0, 0, 0, 3, 3]",356.40000000000003,[2 4 3 7 6],356.40000000000003,486.90000000000003,False,True,False,False,False
