game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[0, 0, 1, 4, 1]",1205.0,[6 3 3 8 1],,383.0,False,False,False,False,False
0,1,2,1.0,"[1, 1, 1, 3, 0]",502.0,[6 3 3 8 1],502.0,22.0,False,False,False,False,True
0,2,1,0.9,"[1, 1, 1, 3, 0]",1061.1000000000001,[6 3 3 8 1],1061.1000000000001,344.7,False,False,False,False,True
0,2,2,0.9,"[1, 1, 1, 3, 0]",451.8,[6 3 3 8 1],451.8,19.8,False,False,False,False,False
1,1,1,1.0,"[0, 0, 2, 0, 0]",1440.0,[5 5 4 5 4],,585.0,False,False,False,False,False
1,1,2,1.0,"[0, 0, 0, 0, 0]",0.0,[5 5 4 5 4],0.0,125.0,False,True,False,True,True
1,2,1,0.9,"[0, 2, 1, 0, 0]",1201.5,[5 5 4 5 4],1201.5,526.5,False,False,False,False,True
2,1,1,1.0,"[1, 0, 3, 1, 2]",606.0,[6 3 3 2 3],,87.0,False,False,False,False,False
2,1,2,1.0,"[0, 0, 2, 0, 1]",131.0,[6 3 3 2 3],131.0,470.0,False,True,False,False,True
2,2,1,0.9,"[4, 3, 0, 2, 2]",176.4,[6 3 3 2 3],176.4,78.3,False,False,False,False,True
2,2,2,0.9,"[4, 3, 0, 2, 2]",304.2,[6 3 3 2 3],304.2,423.0,True,True,False,False,False
3,1,1,1.0,"[3, 1, 3, 1, 1]",477.0,[6 3 7 3 3],,36.0,False,False,False,False,False
4,1,1,1.0,"[0, 3, 7, 1, 0]",734.0,[5 4 8 5 4],,598.0,False,False,False,False,False
4,1,2,1.0,"[1, 1, 2, 1, 0]",141.0,[5 4 8 5 4],141.0,832.0,False,True,False,False,True
4,2,1,0.9,[],,[5 4 8 5 4],,,,,,,
5,1,1,1.0,"[0, 3, 5, 0, 0]",758.0,[6 5 5 2 0],,397.0,False,False,False,False,False
5,1,2,1.0,"[2, 2, 1, 1, 0]",339.0,[6 5 5 2 0],339.0,166.0,False,False,False,False,True
5,2,1,0.9,"[0, 2, 0, 0, 0]",924.3000000000001,[6 5 5 2 0],924.3000000000001,357.3,False,False,False,False,False
5,2,2,0.9,"[1, 1, 2, 1, 0]",309.6,[6 5 5 2 0],309.6,149.4,False,False,False,False,False
5,3,1,0.81,[],,[6 5 5 2 0],,,,,,,
6,1,1,1.0,"[0, 0, 1, 2, 3]",674.0,[2 4 4 5 6],,293.0,False,False,False,False,False
6,1,2,1.0,"[0, 0, 4, 2, 2]",364.0,[2 4 4 5 6],364.0,313.0,False,False,False,False,True
6,2,1,0.9,[],,[2 4 4 5 6],,,,,,,
7,1,1,1.0,"[0, 2, 0, 2, 2]",330.0,[4 5 3 5 4],,17.0,False,False,False,False,False
7,1,2,1.0,"[1, 2, 0, 2, 1]",395.0,[4 5 3 5 4],395.0,200.0,False,False,False,False,False
7,2,1,0.9,"[0, 1, 0, 1, 2]",321.3,[4 5 3 5 4],321.3,15.3,False,False,False,False,True
8,1,1,1.0,"[0, 0, 2, 7, 0]",875.0,[1 2 8 7 0],,674.0,False,False,False,False,False
8,1,2,1.0,"[0, 1, 4, 4, 0]",437.0,[1 2 8 7 0],437.0,140.0,False,False,False,False,True
8,2,1,0.9,[],,[1 2 8 7 0],,,,,,,
9,1,1,1.0,"[2, 1, 2, 3, 2]",704.0,[4 3 6 6 4],,190.0,False,False,False,False,False
9,1,2,1.0,"[2, 0, 1, 1, 1]",359.0,[4 3 6 6 4],359.0,53.0,False,False,False,False,True
9,2,1,0.9,"[1, 1, 2, 2, 2]",687.6,[4 3 6 6 4],687.6,171.0,False,False,False,False,True
9,2,2,0.9,"[1, 0, 1, 2, 1]",259.2,[4 3 6 6 4],259.2,47.7,False,False,False,False,True
9,3,1,0.81,[],,[4 3 6 6 4],,,,,,,
10,1,1,1.0,"[0, 1, 0, 4, 3]",465.0,[1 3 2 7 5],,76.0,False,False,False,False,False
10,1,2,1.0,"[0, 1, 0, 3, 3]",570.0,[1 3 2 7 5],570.0,95.0,False,False,False,False,True
10,2,1,0.9,"[0, 1, 0, 3, 2]",505.8,[1 3 2 7 5],505.8,68.4,False,False,False,False,False
10,2,2,0.9,"[0, 1, 0, 2, 2]",350.1,[1 3 2 7 5],350.1,85.5,False,False,False,False,True
10,3,1,0.81,[],,[1 3 2 7 5],,,,,,,
11,1,1,1.0,"[0, 2, 1, 1, 0]",1174.0,[5 7 1 3 5],,261.0,False,False,False,False,False
11,1,2,1.0,"[1, 0, 0, 0, 0]",31.0,[5 7 1 3 5],31.0,828.0,False,True,False,False,True
11,2,1,0.9,"[0, 1, 0, 0, 0]",1177.2,[5 7 1 3 5],1177.2,234.9,False,False,False,False,True
12,1,1,1.0,"[0, 5, 3, 0, 5]",940.0,[5 8 3 5 8],,50.0,False,False,False,False,False
12,1,2,1.0,"[0, 3, 0, 0, 3]",303.0,[5 8 3 5 8],303.0,276.0,False,False,False,False,True
12,2,1,0.9,"[0, 4, 0, 0, 4]",969.3000000000001,[5 8 3 5 8],969.3000000000001,45.0,False,False,False,False,True
12,2,2,0.9,"[0, 4, 0, 0, 3]",273.6,[5 8 3 5 8],273.6,248.4,False,False,False,False,True
12,3,1,0.81,[],,[5 8 3 5 8],,,,,,,
13,1,1,1.0,"[2, 1, 3, 0, 2]",277.0,[4 3 4 1 4],,878.0,False,True,False,False,False
13,1,2,1.0,"[1, 0, 2, 0, 1]",184.0,[4 3 4 1 4],184.0,176.0,False,False,False,False,True
13,2,1,0.9,[],,[4 3 4 1 4],,,,,,,
14,1,1,1.0,"[0, 3, 0, 4, 2]",576.0,[4 6 4 4 3],,666.0,False,True,False,False,False
14,1,2,1.0,"[0, 2, 0, 2, 0]",116.0,[4 6 4 4 3],116.0,319.0,False,True,False,False,True
14,2,1,0.9,"[0, 3, 0, 4, 1]",581.4,[4 6 4 4 3],581.4,599.4,False,True,False,False,True
15,1,1,1.0,"[0, 0, 0, 4, 0]",634.0,[2 6 5 4 5],,574.0,False,False,False,False,False
15,1,2,1.0,"[2, 6, 3, 0, 0]",690.0,[2 6 5 4 5],690.0,339.0,False,False,False,False,False
15,2,1,0.9,"[0, 3, 2, 0, 0]",444.6,[2 6 5 4 5],444.6,516.6,False,True,False,False,False
15,2,2,0.9,"[1, 3, 2, 0, 0]",347.40000000000003,[2 6 5 4 5],347.40000000000003,305.1,False,False,False,False,False
15,3,1,0.81,[],,[2 6 5 4 5],,,,,,,
16,1,1,1.0,"[2, 2, 4, 0, 3]",249.0,[4 5 4 2 6],,320.0,False,True,False,False,False
16,1,2,1.0,"[0, 0, 2, 0, 0]",100.0,[4 5 4 2 6],100.0,537.0,False,True,False,False,True
16,2,1,0.9,"[2, 0, 2, 1, 2]",277.2,[4 5 4 2 6],277.2,288.0,False,True,False,False,True
16,2,2,0.9,"[0, 1, 0, 0, 0]",77.4,[4 5 4 2 6],77.4,483.3,False,True,False,False,True
16,3,1,0.81,[],,[4 5 4 2 6],,,,,,,
17,1,1,1.0,"[0, 0, 0, 2, 2]",963.0,[5 1 6 7 2],,475.0,False,False,False,False,False
17,1,2,1.0,"[0, 1, 3, 4, 0]",228.0,[5 1 6 7 2],228.0,37.0,False,False,False,False,False
17,2,1,0.9,[],,[5 1 6 7 2],,,,,,,
18,1,1,1.0,"[0, 1, 3, 2, 2]",1076.0,[2 4 7 4 4],,778.0,False,False,False,False,False
18,1,2,1.0,"[0, 0, 3, 1, 1]",196.0,[2 4 7 4 4],196.0,47.0,False,False,False,False,True
18,2,1,0.9,[],,[2 4 7 4 4],,,,,,,
19,1,1,1.0,"[6, 0, 0, 1, 0]",799.0,[6 7 5 1 3],,646.0,False,False,False,False,False
19,1,2,1.0,"[6, 2, 2, 1, 1]",517.0,[6 7 5 1 3],517.0,306.0,False,False,False,False,False
19,2,1,0.9,[],,[6 7 5 1 3],,,,,,,
20,1,1,1.0,"[0, 0, 0, 0, 0]",1232.0,[6 1 2 3 2],,680.0,False,False,False,True,False
20,1,2,1.0,"[2, 1, 1, 2, 2]",310.0,[6 1 2 3 2],310.0,157.0,False,False,False,False,False
20,2,1,0.9,[],,[6 1 2 3 2],,,,,,,
21,1,1,1.0,"[0, 0, 0, 0, 0]",722.0,[2 4 3 1 5],,653.0,False,False,False,True,False
22,1,1,1.0,"[2, 1, 0, 3, 1]",430.0,[5 3 2 6 3],,642.0,False,True,False,False,False
22,1,2,1.0,"[2, 0, 0, 3, 0]",306.0,[5 3 2 6 3],306.0,73.0,False,False,False,False,True
22,2,1,0.9,[],,[5 3 2 6 3],,,,,,,
23,1,1,1.0,"[1, 3, 1, 2, 1]",628.0,[3 7 5 4 3],,171.0,False,False,False,False,False
24,1,1,1.0,"[2, 1, 3, 0, 2]",617.0,[6 3 8 1 4],,396.0,False,False,False,False,False
24,1,2,1.0,"[1, 1, 1, 0, 0]",148.0,[6 3 8 1 4],148.0,633.0,False,True,False,False,True
24,2,1,0.9,"[0, 1, 1, 1, 0]",777.6,[6 3 8 1 4],777.6,356.40000000000003,False,False,False,False,True
25,1,1,1.0,"[0, 0, 1, 0, 1]",565.0,[3 2 1 3 3],,370.0,False,False,False,False,False
25,1,2,1.0,"[1, 0, 0, 0, 1]",37.0,[3 2 1 3 3],37.0,530.0,False,True,False,False,True
25,2,1,0.9,"[0, 0, 0, 0, 2]",495.90000000000003,[3 2 1 3 3],495.90000000000003,333.0,False,False,False,False,True
25,2,2,0.9,"[0, 0, 0, 2, 1]",112.5,[3 2 1 3 3],112.5,477.0,False,True,False,False,False
25,3,1,0.81,[],,[3 2 1 3 3],,,,,,,
26,1,1,1.0,"[0, 0, 0, 0, 5]",1257.0,[5 4 5 1 8],,93.0,False,False,False,False,False
26,1,2,1.0,"[1, 3, 4, 0, 2]",318.0,[5 4 5 1 8],318.0,588.0,False,True,False,False,False
26,2,1,0.9,"[0, 2, 3, 0, 1]",819.9,[5 4 5 1 8],819.9,83.7,False,False,False,False,False
27,1,1,1.0,"[3, 3, 4, 0, 1]",911.0,[7 6 8 0 3],,798.0,False,False,False,False,False
28,1,1,1.0,"[0, 1, 0, 0, 0]",571.0,[4 2 3 3 2],,315.0,False,False,False,False,False
28,1,2,1.0,"[3, 1, 1, 1, 2]",526.0,[4 2 3 3 2],526.0,952.0,False,True,False,False,False
28,2,1,0.9,"[1, 1, 3, 0, 2]",432.90000000000003,[4 2 3 3 2],432.90000000000003,283.5,False,False,False,False,False
29,1,1,1.0,"[0, 1, 1, 1, 0]",670.0,[7 3 3 4 5],,431.0,False,False,False,False,False
29,1,2,1.0,"[1, 0, 1, 0, 2]",252.0,[7 3 3 4 5],252.0,553.0,False,True,False,False,False
29,2,1,0.9,[],,[7 3 3 4 5],,,,,,,
30,1,1,1.0,"[0, 3, 2, 3, 2]",1131.0,[8 4 5 5 4],,660.0,False,False,False,False,False
30,1,2,1.0,"[3, 1, 3, 2, 3]",366.0,[8 4 5 5 4],366.0,473.0,False,True,False,False,False
30,2,1,0.9,[],,[8 4 5 5 4],,,,,,,
31,1,1,1.0,"[0, 0, 0, 0, 0]",437.0,[4 1 0 2 5],,929.0,False,True,False,True,False
31,1,2,1.0,"[2, 1, 0, 1, 3]",187.0,[4 1 0 2 5],187.0,660.0,False,True,False,False,False
31,2,1,0.9,[],,[4 1 0 2 5],,,,,,,
32,1,1,1.0,"[4, 0, 2, 0, 0]",1165.0,[8 3 4 5 3],,30.0,False,False,False,False,False
32,1,2,1.0,"[6, 0, 2, 0, 0]",682.0,[8 3 4 5 3],682.0,208.0,False,False,False,False,False
32,2,1,0.9,"[5, 0, 0, 5, 1]",579.6,[8 3 4 5 3],579.6,27.0,False,False,False,False,True
33,1,1,1.0,"[0, 3, 1, 1, 0]",579.0,[4 6 4 3 3],,549.0,False,False,False,False,False
33,1,2,1.0,"[0, 2, 1, 1, 0]",261.0,[4 6 4 3 3],261.0,612.0,False,True,False,False,True
33,2,1,0.9,[],,[4 6 4 3 3],,,,,,,
34,1,1,1.0,"[0, 1, 2, 4, 3]",906.0,[4 5 4 8 3],,8.0,False,False,False,False,False
35,1,1,1.0,"[0, 0, 1, 4, 5]",903.0,[5 6 6 4 5],,325.0,False,False,False,False,False
36,1,1,1.0,"[0, 4, 0, 7, 5]",79.0,[3 4 1 7 5],,797.0,False,True,False,False,False
36,1,2,1.0,"[1, 1, 1, 3, 1]",414.0,[3 4 1 7 5],414.0,242.0,False,False,False,False,True
36,2,1,0.9,[],,[3 4 1 7 5],,,,,,,
37,1,1,1.0,"[0, 0, 3, 4, 4]",969.0,[3 9 3 4 4],,901.0,False,False,False,False,False
37,1,2,1.0,"[2, 3, 1, 0, 0]",384.0,[3 9 3 4 4],384.0,239.0,False,False,False,False,True
37,2,1,0.9,[],,[3 9 3 4 4],,,,,,,
38,1,1,1.0,"[2, 1, 1, 0, 2]",783.0,[5 9 4 2 7],,854.0,False,True,False,False,False
39,1,1,1.0,"[0, 0, 2, 2, 3]",905.0,[4 3 4 4 6],,636.0,False,False,False,False,False
40,1,1,1.0,"[1, 1, 2, 1, 2]",480.0,[5 3 6 5 4],,772.0,False,True,False,False,False
40,1,2,1.0,"[0, 0, 1, 1, 0]",148.0,[5 3 6 5 4],148.0,832.0,False,True,False,False,True
40,2,1,0.9,"[1, 1, 3, 2, 2]",369.0,[5 3 6 5 4],369.0,694.8000000000001,False,True,False,False,True
40,2,2,0.9,"[0, 1, 2, 1, 0]",294.3,[5 3 6 5 4],294.3,748.8000000000001,False,True,False,False,True
40,3,1,0.81,[],,[5 3 6 5 4],,,,,,,
41,1,1,1.0,"[0, 0, 2, 1, 1]",1004.0,[7 3 7 6 4],,568.0,False,False,False,False,False
41,1,2,1.0,"[0, 0, 3, 0, 2]",202.0,[7 3 7 6 4],202.0,514.0,False,True,False,False,False
41,2,1,0.9,[],,[7 3 7 6 4],,,,,,,
42,1,1,1.0,"[0, 2, 0, 1, 6]",293.0,[2 5 1 4 6],,174.0,False,False,False,False,False
43,1,1,1.0,"[0, 1, 2, 0, 4]",455.0,[3 3 2 4 4],,260.0,False,False,False,False,False
43,1,2,1.0,"[0, 0, 1, 2, 0]",84.0,[3 3 2 4 4],84.0,20.0,False,False,False,False,True
43,2,1,0.9,[],,[3 3 2 4 4],,,,,,,
44,1,1,1.0,"[3, 2, 1, 0, 2]",269.0,[7 4 2 1 4],,672.0,False,True,False,False,False
44,1,2,1.0,"[2, 1, 0, 0, 0]",177.0,[7 4 2 1 4],177.0,325.0,False,True,False,False,True
44,2,1,0.9,"[4, 2, 1, 0, 2]",233.1,[7 4 2 1 4],233.1,604.8000000000001,False,True,False,False,True
45,1,1,1.0,"[0, 0, 0, 0, 0]",856.0,[3 2 3 2 3],,413.0,False,False,False,True,False
45,1,2,1.0,"[0, 0, 0, 0, 3]",15.0,[3 2 3 2 3],15.0,149.0,False,True,False,False,False
45,2,1,0.9,"[0, 0, 1, 0, 1]",672.3000000000001,[3 2 3 2 3],672.3000000000001,371.7,False,False,False,False,False
45,2,2,0.9,"[0, 1, 1, 0, 3]",72.9,[3 2 3 2 3],72.9,134.1,False,True,False,False,False
45,3,1,0.81,[],,[3 2 3 2 3],,,,,,,
46,1,1,1.0,"[0, 0, 4, 2, 0]",1139.0,[4 5 4 7 1],,735.0,False,False,False,False,False
46,1,2,1.0,"[2, 2, 0, 5, 0]",600.0,[4 5 4 7 1],600.0,687.0,False,True,False,False,False
46,2,1,0.9,[],,[4 5 4 7 1],,,,,,,
47,1,1,1.0,"[1, 0, 1, 1, 1]",320.0,[6 0 2 2 3],,760.0,False,True,False,False,False
48,1,1,1.0,"[3, 2, 1, 0, 2]",451.0,[5 6 2 1 4],,764.0,False,True,False,False,False
49,1,1,1.0,"[2, 1, 5, 2, 0]",1094.0,[7 4 5 7 4],,70.0,False,False,False,False,False
49,1,2,1.0,"[1, 0, 1, 2, 0]",243.0,[7 4 5 7 4],243.0,152.0,False,False,False,False,True
49,2,1,0.9,"[2, 1, 1, 2, 0]",1056.6000000000001,[7 4 5 7 4],1056.6000000000001,63.0,False,False,False,False,True
49,2,2,0.9,"[1, 0, 1, 3, 0]",260.1,[7 4 5 7 4],260.1,136.8,False,False,False,False,True
49,3,1,0.81,[],,[7 4 5 7 4],,,,,,,
50,1,1,1.0,"[0, 4, 0, 0, 1]",661.0,[2 7 2 1 2],,802.0,False,True,False,False,False
50,1,2,1.0,"[0, 3, 0, 0, 0]",51.0,[2 7 2 1 2],51.0,333.0,False,True,False,False,True
50,2,1,0.9,[],,[2 7 2 1 2],,,,,,,
51,1,1,1.0,"[3, 0, 0, 0, 0]",601.0,[6 5 4 4 2],,505.0,False,False,False,False,False
51,1,2,1.0,"[3, 0, 0, 1, 0]",174.0,[6 5 4 4 2],174.0,407.0,False,True,False,False,False
51,2,1,0.9,"[2, 0, 0, 0, 0]",548.1,[6 5 4 4 2],548.1,454.5,False,False,False,False,True
51,2,2,0.9,"[2, 1, 0, 0, 0]",111.60000000000001,[6 5 4 4 2],111.60000000000001,366.3,False,True,False,False,False
51,3,1,0.81,[],,[6 5 4 4 2],,,,,,,
52,1,1,1.0,"[0, 1, 1, 4, 1]",658.0,[6 1 2 7 2],,532.0,False,False,False,False,False
52,1,2,1.0,"[2, 0, 0, 3, 0]",155.0,[6 1 2 7 2],155.0,255.0,False,True,False,False,True
52,2,1,0.9,"[1, 0, 0, 3, 0]",645.3000000000001,[6 1 2 7 2],645.3000000000001,478.8,False,False,False,False,False
52,2,2,0.9,"[0, 1, 1, 3, 0]",197.1,[6 1 2 7 2],197.1,229.5,False,True,False,False,False
52,3,1,0.81,[],,[6 1 2 7 2],,,,,,,
53,1,1,1.0,"[0, 0, 2, 2, 3]",257.0,[1 1 4 4 3],,107.0,False,False,False,False,False
54,1,1,1.0,"[0, 1, 0, 1, 0]",864.0,[3 5 2 4 1],,880.0,False,True,False,False,False
54,1,2,1.0,"[0, 0, 0, 0, 0]",0.0,[3 5 2 4 1],0.0,424.0,False,True,False,True,True
54,2,1,0.9,[],,[3 5 2 4 1],,,,,,,
55,1,1,1.0,"[0, 0, 0, 0, 0]",590.0,[2 1 2 0 5],,777.0,False,True,False,True,False
