game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous,previous_offer
1,1,1,1.0,"[0, 0, 0, 2, 3]",[33 75 64 92 47],[0 1 1 3 5],[0 1 1 1 2],815,False,False,False,False,False,
1,1,2,1.0,"[0, 0, 0, 1, 2]",[96 33 73 64 59],[0 1 1 3 5],[0 1 1 2 3],965,False,True,False,False,False,
1,2,1,0.9,"[0, 0, 0, 2, 3]",[33 75 64 92 47],[0 1 1 3 5],[0 1 1 1 2],815,False,False,False,False,False,
1,2,2,0.9,"[0, 1, 1, 1, 2]",[96 33 73 64 59],[0 1 1 3 5],[0 0 0 2 3],965,False,True,False,False,True,
1,3,1,0.81,,[33 75 64 92 47],[0 1 1 3 5],,815,True,,False,,,"[0, 1, 1, 1, 2]"
2,1,1,1.0,"[1, 2, 3, 0, 2]",[69  1 34 99 79],[3 2 5 2 4],[2 0 2 2 2],494,False,False,False,False,False,
2,1,2,1.0,"[2, 1, 2, 2, 1]",[68 60 22 42 83],[3 2 5 2 4],[1 1 3 0 3],752,False,True,False,False,False,
2,2,1,0.9,"[1, 1, 3, 0, 3]",[69  1 34 99 79],[3 2 5 2 4],[2 1 2 2 1],494,False,False,False,False,False,
2,2,2,0.9,"[2, 1, 2, 2, 2]",[68 60 22 42 83],[3 2 5 2 4],[1 1 3 0 2],752,False,True,False,False,True,
2,3,1,0.81,,[69  1 34 99 79],[3 2 5 2 4],,494,False,,False,,,"[2, 1, 2, 2, 2]"
3,1,1,1.0,"[2, 3, 4, 2, 2]",[73 27 19 68 33],[4 4 6 5 4],[2 1 2 3 2],800,False,False,False,False,False,
3,1,2,1.0,"[2, 1, 3, 3, 2]",[59 24 79 27 19],[4 4 6 5 4],[2 3 3 2 2],272,False,False,False,False,False,
3,2,1,0.9,"[2, 2, 3, 2, 2]",[73 27 19 68 33],[4 4 6 5 4],[2 2 3 3 2],800,False,False,False,False,False,
3,2,2,0.9,"[2, 2, 2, 3, 2]",[59 24 79 27 19],[4 4 6 5 4],[2 2 4 2 2],272,False,False,False,False,False,
3,3,1,0.81,,[73 27 19 68 33],[4 4 6 5 4],,800,True,,False,,,"[2, 2, 2, 3, 2]"
4,1,1,1.0,"[3, 1, 2, 1, 0]",[27 92 13 53 90],[7 7 3 2 0],[4 6 1 1 0],72,False,False,False,False,False,
4,1,2,1.0,"[4, 6, 1, 1, 0]",[87  7 84  9 96],[7 7 3 2 0],[3 1 2 1 0],588,False,True,False,False,False,
4,2,1,0.9,"[3, 2, 1, 1, 0]",[27 92 13 53 90],[7 7 3 2 0],[4 5 2 1 0],72,False,False,False,False,False,
4,2,2,0.9,"[4, 5, 1, 1, 0]",[87  7 84  9 96],[7 7 3 2 0],[3 2 2 1 0],588,False,True,False,False,True,
4,3,1,0.81,,[27 92 13 53 90],[7 7 3 2 0],,72,False,,False,,,"[4, 5, 1, 1, 0]"
5,1,1,1.0,"[0, 2, 2, 2, 3]",[18 45 43 74 15],[0 4 4 4 5],[0 2 2 2 2],68,False,False,False,False,False,
5,1,2,1.0,"[0, 1, 1, 1, 2]",[70 45 29 58  5],[0 4 4 4 5],[0 3 3 3 3],645,False,True,False,False,False,
