game_id,player_id,total_value,outside_value,num_offers
1,1,717,508,1
1,2,973,582,2
2,1,1302,666,1
2,2,1103,172,1
3,1,712,890,1
3,2,1627,828,1
4,1,1518,595,1
4,2,1599,813,2
5,1,599,822,0
5,2,554,684,1
6,1,1293,456,2
6,2,1738,675,2
7,1,1051,153,0
7,2,1166,773,1
8,1,403,515,0
8,2,831,625,1
9,1,359,687,1
9,2,1065,38,1
10,1,777,537,0
10,2,375,909,1
11,1,857,365,0
11,2,820,810,1
12,1,1002,346,0
12,2,1052,888,1
13,1,657,559,1
13,2,1008,4,1
14,1,1453,287,1
14,2,1222,406,2
15,1,1109,564,0
15,2,1360,656,1
16,1,867,479,1
16,2,1755,812,1
17,1,591,164,1
17,2,1129,751,2
18,1,1186,409,1
18,2,1527,28,1
19,1,1135,766,1
19,2,1367,107,1
20,1,754,313,1
20,2,1491,504,1
21,1,882,834,1
21,2,1755,870,1
22,1,1461,480,1
22,2,982,15,1
23,1,1342,54,1
23,2,1136,791,2
24,1,972,571,1
24,2,986,224,1
25,1,979,629,1
25,2,1098,50,1
26,1,920,876,1
26,2,1681,445,1
27,1,700,369,2
27,2,704,352,2
28,1,1772,4,1
28,2,1150,238,1
29,1,1039,918,0
29,2,673,792,1
30,1,520,301,0
30,2,536,708,1
31,1,814,46,1
31,2,941,866,2
32,1,699,849,0
32,2,746,947,1
33,1,967,625,1
33,2,1231,752,1
34,1,384,330,2
34,2,586,845,2
35,1,695,142,0
35,2,1143,864,1
36,1,610,642,1
36,2,567,279,1
37,1,1242,238,0
37,2,937,978,1
38,1,766,370,0
38,2,820,859,1
39,1,682,354,1
39,2,637,329,2
40,1,950,583,2
40,2,1638,685,2
41,1,1257,86,1
41,2,1351,545,1
42,1,1098,746,0
42,2,658,404,1
43,1,1207,249,0
43,2,672,565,1
44,1,886,888,0
44,2,992,734,0
45,1,590,346,0
45,2,742,759,1
46,1,784,381,2
46,2,703,322,2
47,1,707,438,1
47,2,1280,535,1
48,1,511,106,1
48,2,1358,278,1
49,1,909,658,1
49,2,1113,749,1
50,1,486,647,1
50,2,1070,172,1
51,1,777,956,0
51,2,526,521,1
52,1,1148,459,2
52,2,1395,680,2
53,1,776,680,0
53,2,1095,786,1
54,1,979,49,1
54,2,976,887,2
55,1,3260,825,1
55,2,2731,629,1
56,1,1022,332,0
56,2,1103,881,1
57,1,777,472,1
57,2,1326,697,2
58,1,337,747,0
58,2,1005,230,0
59,1,736,587,2
59,2,618,359,2
60,1,385,62,0
60,2,671,879,1
61,1,999,62,1
61,2,1216,572,2
62,1,921,395,2
62,2,1163,544,2
63,1,1246,190,0
63,2,1373,610,1
64,1,806,999,0
64,2,773,623,0
65,1,556,903,1
65,2,658,95,1
66,1,1280,18,1
66,2,1245,741,2
67,1,586,917,0
67,2,1506,550,0
68,1,1459,259,2
68,2,1220,810,2
69,1,918,859,1
69,2,1018,367,1
70,1,704,958,1
70,2,894,174,1
71,1,1428,8,1
71,2,949,258,1
72,1,1724,498,1
72,2,1419,380,1
73,1,1245,238,2
73,2,533,247,3
74,1,743,862,1
74,2,950,466,1
75,1,1801,797,1
75,2,777,480,2
76,1,618,214,1
76,2,601,440,2
77,1,798,794,0
77,2,673,952,0
78,1,1082,401,0
78,2,720,436,1
79,1,1182,529,0
79,2,634,842,1
80,1,1570,195,1
80,2,1108,420,1
81,1,717,675,0
81,2,665,937,1
82,1,1312,749,1
82,2,637,175,1
83,1,456,939,1
83,2,1263,292,1
84,1,628,148,1
84,2,584,354,2
85,1,1013,133,1
85,2,835,466,1
86,1,671,680,0
86,2,759,576,1
87,1,1143,321,1
87,2,845,283,1
88,1,864,877,0
88,2,1108,255,0
89,1,996,200,1
89,2,959,528,2
90,1,1001,615,0
90,2,672,686,1
91,1,1128,250,1
91,2,1903,701,2
92,1,669,662,1
92,2,802,88,1
93,1,1512,284,1
93,2,1614,518,1
94,1,519,943,1
94,2,585,74,1
95,1,454,957,0
95,2,1060,272,0
96,1,575,318,0
96,2,809,974,1
97,1,827,25,1
97,2,1203,179,1
98,1,1241,87,1
98,2,867,925,2
99,1,1561,742,1
99,2,1226,634,1
100,1,613,830,1
100,2,906,18,1
